employee_id,name,department_id,position_id,subsidiary,hire_date,salary,email,status
E-1092,WENDY LI,D-13,P-6,retail,03/20/2023,16 073,emp1092@meridian.COM,active
E-1093,Paul Henry,D-25,P-77,retail,02/12/2018,"$22,524.00",emp1093@meridian.COM,active
E-1094,Henry Zane,D-8,P-11,saas,2021-09-08,"$20,879.00",emp1094@meridian.COM,active
E-1095,Xavier Yuki,D-8,P-25,mfg,2018-10-04,"$12,737.00",EMP1095@MERIDIAN. CO,left
E-1096,bob jack,D-14,P-28,mfg,09/26/2022,43096,emp1096@meridian.COM,active
E-1097,Xu Tina,D-38,P-107,retail,11/02/2021,22154,emp1097@meridian.com,active
E-1098,chen xavier,D-17,P-81,retail,14-01-2026,"$23,061.00",emp1098@meridian. co,active
E-1099,Leo Xu,D-10,P-25,retail,07/01/2016,"$35,827.00",emp1099@meridian.com,left
E-1100,Henry David,D-8,P-108,retail,02/14/2021,14491,emp1100@meridian. co,active
E-1101,Zane Lin,D-32,P-40,mfg,2022-04-09,8984,EMP1101@MERIDIAN.COM,left
E-1102,WU ZHAO,D-5,P-53,retail,2019-12-12,"17 922,00",emp1102@meridian.COM,left
E-1103,karen vera,D-19,P-83,mfg,2022-10-18,32081,emp1103@meridian.com,active
E-1104,  Rose Mona  ,D-10,P-97,saas,2018-01-17,"$54,555.00",emp1104@meridian.com,active
E-1105,  Paul Umar  ,D-3,P-93,retail,02/12/2022,56 021,  emp1105@meridian.COM  ,active
E-1106,Vera Henry,D-36,P-118,mfg,04/27/2023,8197,EMP1106@MERIDIAN.COM,active
E-1107,Wang David,D-14,P-11,saas,24-04-2021,"$27,228.00",emp1107@meridian.COM,active
E-1108,ZHANG YUKI,D-31,P-107,retail,2017-05-05,25 322,EMP1108@MERIDIAN.COM,active
E-1109,  Guo Sun  ,D-12,P-53,mfg,2023-03-17,"$51,767.00",EMP1109@MERIDIAN. CO,active
E-1110,  David Tina  ,D-37,P-71,saas,2025-03-07,36666,  emp1110@meridian. co  ,active
E-1111,Bob David,D-9,P-10,saas,06/01/2016,36206,emp1111@meridian.com,active
E-1112,Zhang Carol,D-13,P-109,retail,2016-08-22,"$51,393.00",emp1112@meridian.com,active
E-1113,zhou li,D-2,P-9,mfg,10/12/2021,7480,emp1113@meridian.com,active
E-1114,UMAR LEO,D-32,P-61,mfg,09/10/2023,"$9,675.00",emp1114@meridian.com,active
E-1115,Alice Nick,D-28,P-29,retail,11/25/2023,"$48,830.00",emp1115@meridian.COM,active
E-1116,Grace Zhang,D-12,P-44,retail,11/26/2017,44 642,  emp1116@meridian.com  ,active
E-1117,Quinn David,D-25,P-99,mfg,06/17/2022,"$51,142.00",emp1117@meridian.com,active
E-1118,Quinn Jack,D-40,P-86,saas,09-04-2021,14442,emp1118@meridian.com,active
E-1119,Olive Wu,D-33,P-43,mfg,16-08-2021,"$17,687.00",emp1119@meridian. co,active
E-1120,WANG ALICE,D-4,P-84,retail,07/18/2025,57412,EMP1120@MERIDIAN. CO,left
E-1121,Jack Bob,D-21,P-80,mfg,2024-07-06,31719,emp1121@meridian.com,active
E-1122,Yuki Xu,D-14,P-39,retail,08/06/2025,6019,emp1122@meridian. co,active
E-1123,  Grace Carol  ,D-35,P-102,mfg,01/05/2024,"$12,870.00",emp1123@meridian.com,active
E-1124,Li Xu,D-26,P-32,retail,2016-04-07,"41 476,00",emp1124@meridian. co,left
E-1125,  Alice Zhou  ,D-39,P-17,retail,2024-07-27,"53 359,00",  emp1125@meridian. co  ,active
E-1126,Ivy Hu,D-7,P-26,mfg,2026-05-27,"$13,464.00",emp1126@meridian.com,active
E-1127,Zhang Rose,D-18,P-38,mfg,13-04-2026,"$8,261.00",emp1127@meridian. co,active
E-1128,ivy zhao,D-35,P-108,mfg,2025-03-13,"48 256,00",EMP1128@MERIDIAN.COM,active
E-1129,  Liu Vera  ,D-15,P-81,mfg,2016-08-28,9489,emp1129@meridian. co,active
E-1130,David Umar,D-36,P-23,retail,2019-06-08,45665,emp1130@meridian. co,active
E-1131,Wendy Rose,D-19,P-23,mfg,2022-05-16,22 239,EMP1131@MERIDIAN.COM,active
E-1132,David Wang,D-38,P-26,retail,10/02/2019,"$46,516.00",emp1132@meridian. co,active
E-1133,Sun Sam,D-31,P-59,saas,09/04/2025,"$40,293.00",EMP1133@MERIDIAN. CO,active
E-1134,CHEN IVY,D-24,P-102,retail,08/09/2015,12393,  emp1134@meridian.COM  ,active
E-1135,TINA DAVID,D-3,P-79,retail,2020-04-05,"$55,802.00",  emp1135@meridian.com  ,active
E-1136,Zhang Rose,D-24,P-5,retail,12-12-2015,45195,  emp1136@meridian. co  ,active
E-1137,  Alice Quinn  ,D-31,P-54,mfg,2020-06-10,"34 629,00",emp1137@meridian.com,active
E-1138,  Frank Grace  ,D-13,P-76,mfg,2015-11-20,6692,emp1138@meridian.com,active
E-1139,Eve Xu,D-18,P-48,retail,2025-02-22,37851,emp1139@meridian.COM,active
E-1140,  Xavier Wendy  ,D-24,P-28,retail,2021-05-10,16752,emp1140@meridian. co,active
E-1141,Nick Sam,D-12,P-80,saas,2021-05-08,25158,emp1141@meridian. co,active
E-1142,  Jack Vera  ,D-39,P-115,mfg,2024-04-14,59566,emp1142@meridian.com,active
E-1143,  Nick Mona  ,D-27,P-10,retail,2024-09-19,"$9,645.00",EMP1143@MERIDIAN.COM,active
E-1144,Xavier Bob,D-11,P-58,retail,2025-04-03,56362,emp1144@meridian.com,active
E-1145,Alice Bob,D-37,P-108,retail,2022-08-24,"$54,298.00",emp1145@meridian.COM,active
E-1146,FRANK TINA,D-12,P-49,mfg,2023-09-28,38612,EMP1146@MERIDIAN.COM,active
E-1147,  Grace Tina  ,D-38,P-61,mfg,09/02/2016,52656,emp1147@meridian.COM,active
E-1148,Rose Wendy,D-23,P-33,mfg,2022-01-09,"$9,366.00",emp1148@meridian.com,active
E-1149,YUKI MONA,D-33,P-4,retail,2026-03-18,"$48,456.00",emp1149@meridian. co,active
E-1150,CHEN VERA,D-17,P-46,mfg,03/12/2019,"$43,969.00",emp1150@meridian. co,active
E-1151,  Vera Wu  ,D-7,P-42,retail,2016-02-08,34871,emp1151@meridian. co,active
E-1152,Rose Zhao,D-30,P-12,mfg,05/28/2020,41641,emp1152@meridian.com,active
E-1153,  Henry Vera  ,D-9,P-109,retail,2020-06-04,"$21,342.00",EMP1153@MERIDIAN.COM,left
E-1154,Zhang Jack,D-33,P-101,retail,2016-07-18,24412,emp1154@meridian.com,active
E-1155,WU UMAR,D-36,P-79,saas,25-10-2015,9554,  emp1155@meridian.com  ,active
E-1156,Wu Olive,D-6,P-63,mfg,2022-07-19,7193,emp1156@meridian.COM,active
E-1157,Carol Henry,D-36,P-3,retail,26-05-2017,"$25,821.00",emp1157@meridian.com,left
E-1158,Vera Eve,D-6,P-29,mfg,04/05/2017,58283,EMP1158@MERIDIAN.COM,active
E-1159,paul rose,D-34,P-71,retail,05/14/2020,8842,emp1159@meridian. co,active
E-1160,GUO OLIVE,D-2,P-13,retail,16-12-2021,"$40,009.00",  emp1160@meridian. co  ,active
E-1161,mona nick,D-28,P-101,mfg,2024-01-02,18522,emp1161@meridian.com,active
E-1162,GRACE GUO,D-31,P-45,saas,2024-06-25,10 960,emp1162@meridian. co,active
E-1163,zhang sun,D-40,P-119,mfg,25-12-2016,"$22,199.00",emp1163@meridian. co,active
E-1164,Xu Zhou,D-28,P-11,mfg,19-11-2015,7181,  emp1164@meridian.COM  ,active
E-1165,Bob David,D-21,P-91,retail,07/10/2015,"$13,954.00",emp1165@meridian.com,left
E-1166,Guo Karen,D-16,P-53,retail,2021-06-12,"25 977,00",emp1166@meridian.com,active
E-1167,Paul Li,D-7,P-52,saas,10/19/2026,"37 917,00",EMP1167@MERIDIAN. CO,left
E-1168,Tina Vera,D-24,P-56,retail,2021-09-18,5266,emp1168@meridian. co,active
E-1169,Alice Leo,D-34,P-32,mfg,2023-06-25,"$58,772.00",  emp1169@meridian. co  ,left
E-1170,Paul Li,D-18,P-106,saas,05/11/2015,"$32,548.00",emp1170@meridian.COM,active
E-1171,Sun Zane,D-4,P-64,retail,2022-02-06,"41 372,00",emp1171@meridian.COM,left
E-1172,Li Quinn,D-24,P-60,saas,22-06-2023,56681,emp1172@meridian.COM,active
E-1173,  Wu Chen  ,D-20,P-80,retail,28-12-2022,46137,emp1173@meridian.COM,active
E-1174,  Zhou Nick  ,D-34,P-79,retail,08/11/2018,"$14,411.00",emp1174@meridian.COM,active
E-1175,FRANK JACK,D-39,P-60,saas,2020-01-17,12187,EMP1175@MERIDIAN.COM,left
E-1176,Xu Xu,D-25,P-3,retail,2024-04-20,46862,EMP1176@MERIDIAN.COM,active
E-1177,  Wu Chen  ,D-17,P-14,retail,2018-01-08,"$31,970.00",EMP1177@MERIDIAN.COM,left
E-1178,WU UMAR,D-35,P-5,mfg,06/28/2016,"$35,043.00",EMP1178@MERIDIAN.COM,left
E-1179,Chen David,D-31,P-117,saas,22-11-2026,6 282,  emp1179@meridian. co  ,left
E-1180,Zane Liu,D-31,P-120,retail,2017-07-24,"$49,013.00",emp1180@meridian.com,active
E-1181,Xu Ivy,D-31,P-12,mfg,2023-08-02,55998,emp1181@meridian. co,active
E-1182,  Li Eve  ,D-31,P-108,retail,04/09/2024,34437,  emp1182@meridian. co  ,active
E-1183,LIU ROSE,D-24,P-73,saas,12/14/2018,21792,emp1183@meridian.com,active
E-1184,Zhao Zhao,D-27,P-95,mfg,25-06-2015,29618,EMP1184@MERIDIAN. CO,active
E-1185,Guo Frank,D-36,P-71,retail,2015-03-23,"$42,961.00",EMP1185@MERIDIAN.COM,active
E-1186,Rose Nick,D-18,P-57,retail,2015-02-24,"$18,286.00",emp1186@meridian. co,active
E-1187,YUKI DAVID,D-23,P-74,saas,12/14/2024,13822,emp1187@meridian.com,left
E-1188,Leo Rose,D-9,P-110,retail,09/20/2024,12149,emp1188@meridian.COM,left
E-1189,Eve Mona,D-20,P-117,saas,10/06/2015,8965,emp1189@meridian. co,active
E-1190,Umar Paul,D-11,P-109,retail,07/25/2019,11119,emp1190@meridian.COM,active
E-1191,David Nick,D-6,P-12,retail,09-05-2020,"23 721,00",  emp1191@meridian.com  ,active
E-1192,Wang Li,D-40,P-9,retail,2024-12-11,44 839,emp1192@meridian.COM,active
E-1193,Sun Eve,D-29,P-110,saas,2021-02-07,25480,emp1193@meridian.COM,active
E-1194,Paul Quinn,D-40,P-4,retail,25-02-2023,6481,emp1194@meridian.com,active
E-1195,Grace Rose,D-22,P-53,retail,2022-04-24,52948,  emp1195@meridian.com  ,active
E-1196,GUO ZHAO,D-3,P-94,mfg,2025-08-25,"$32,428.00",emp1196@meridian.com,active
E-1197,zhou zhao,D-19,P-111,mfg,2020-01-27,56163,emp1197@meridian.com,left
E-1198,  Frank Grace  ,D-36,P-81,retail,2024-09-17,51998,emp1198@meridian.com,active
E-1199,  Ivy Ivy  ,D-16,P-10,mfg,08/01/2025,26946,  emp1199@meridian. co  ,active
E-1200,Grace Wendy,D-7,P-53,saas,04-08-2026,10656,emp1200@meridian.COM,active
E-1201,Henry Zhao,D-2,P-75,saas,02/19/2018,55582,EMP1201@MERIDIAN. CO,left
E-1202,  Liu Bob  ,D-6,P-25,saas,28-06-2016,33044,emp1202@meridian.com,active
E-1203,  Sam Zhao  ,D-10,P-118,mfg,2024-03-21,11800,emp1203@meridian.COM,active
E-1204,Frank Rose,D-32,P-117,retail,2026-08-06,54160,emp1204@meridian. co,active
E-1205,MONA WANG,D-34,P-95,saas,06/22/2022,"37 407,00",  emp1205@meridian.com  ,active
E-1206,  Wu Zane  ,D-18,P-65,saas,06/25/2026,9 975,emp1206@meridian.COM,active
E-1207,QUINN HENRY,D-21,P-91,mfg,2016-06-19,30423,emp1207@meridian. co,left
E-1208,tina sam,D-10,P-111,mfg,2016-03-09,"40 690,00",emp1208@meridian. co,active
E-1209,  Zane Xu  ,D-21,P-1,mfg,17-09-2021,"19 575,00",  emp1209@meridian. co  ,active
E-1210,Zhou Eve,D-20,P-64,mfg,05/27/2015,"$17,952.00",emp1210@meridian.COM,active
E-1211,Xu Zhao,D-22,P-37,mfg,2022-10-06,6 164,emp1211@meridian. co,active
E-1212,Hu Rose,D-9,P-110,retail,02/09/2021,58 574,EMP1212@MERIDIAN.COM,active
E-1213,  Guo Sun  ,D-27,P-25,saas,2015-05-23,57337,EMP1213@MERIDIAN.COM,active
E-1214,Tina Wang,D-12,P-93,mfg,2017-04-17,56344,emp1214@meridian.com,left
E-1215,GUO LIU,D-35,P-6,retail,25-01-2024,31282,emp1215@meridian.com,active
E-1216,Jack Bob,D-28,P-58,saas,03/22/2015,"9 598,00",EMP1216@MERIDIAN. CO,active
E-1217,CAROL LI,D-15,P-86,retail,2026-10-14,59200,EMP1217@MERIDIAN.COM,active
E-1218,LI NICK,D-1,P-11,retail,05-05-2017,"$16,340.00",  emp1218@meridian. co  ,left
E-1219,  Wendy Karen  ,D-31,P-90,mfg,2017-05-04,"$27,506.00",emp1219@meridian. co,active
E-1220,Paul Zane,D-36,P-94,mfg,02/04/2023,39845,  emp1220@meridian.com  ,active
E-1221,Zhang Carol,D-32,P-66,mfg,12/27/2024,59686,emp1221@meridian.COM,active
E-1222,ZHANG HU,D-21,P-13,retail,2025-11-16,"$46,523.00",EMP1222@MERIDIAN. CO,left
E-1223,zane sam,D-13,P-30,retail,2024-01-20,5962,emp1223@meridian. co,active
E-1224,mona wang,D-27,P-112,retail,2026-04-24,48 716,emp1224@meridian.COM,left
E-1225,Wu David,D-5,P-105,mfg,2021-03-17,51273,emp1225@meridian.com,left
E-1226,GRACE WU,D-26,P-3,retail,09-09-2016,"$9,409.00",  emp1226@meridian.com  ,active
E-1227,WU WENDY,D-18,P-55,retail,2016-06-24,"$37,017.00",emp1227@meridian. co,active
E-1228,Eve Liu,D-23,P-58,mfg,2026-12-05,9496,emp1228@meridian.COM,active
E-1229,  Olive Zhou  ,D-27,P-48,retail,2019-01-10,"$44,380.00",emp1229@meridian.com,active
E-1230,  Li Hu  ,D-33,P-1,retail,10-05-2022,"$56,993.00",EMP1230@MERIDIAN.COM,active
E-1231,chen carol,D-10,P-64,saas,2018-10-09,40964,emp1231@meridian. co,active
E-1232,  Wang Tina  ,D-14,P-62,retail,11/26/2016,36111,emp1232@meridian. co,active
E-1233,Yuki Paul,D-7,P-47,retail,06/24/2018,"$12,453.00",  emp1233@meridian.COM  ,active
E-1234,Wang Grace,D-30,P-91,retail,18-03-2022,32603,emp1234@meridian.COM,active
E-1235,Rose Ivy,D-35,P-104,mfg,15-08-2024,"$58,989.00",  emp1235@meridian. co  ,active
E-1236,Vera Wu,D-18,P-56,mfg,04/20/2018,52 775,emp1236@meridian.com,active
E-1237,Sam Lin,D-8,P-59,mfg,2024-08-15,"$42,937.00",emp1237@meridian.com,left
E-1238,david xu,D-1,P-115,retail,12/26/2017,"$53,809.00",EMP1238@MERIDIAN.COM,left
E-1239,WU LEO,D-1,P-48,retail,10-08-2026,56 633,emp1239@meridian.COM,active
E-1240,OLIVE ZHOU,D-6,P-51,mfg,09-01-2021,18288,emp1240@meridian.COM,active
E-1241,SUN CAROL,D-40,P-25,mfg,2023-04-22,"59 709,00",  emp1241@meridian. co  ,left
E-1242,Bob Mona,D-16,P-117,retail,2018-01-13,"45 887,00",emp1242@meridian. co,active
E-1243,Tina Hu,D-38,P-107,mfg,2017-01-03,15004,emp1243@meridian.com,active
E-1244,Carol Nick,D-27,P-91,retail,2020-08-23,"41 439,00",emp1244@meridian.COM,active
E-1245,Karen Jack,D-10,P-26,saas,2016-04-08,33640,emp1245@meridian.com,left
E-1246,Frank Tina,D-22,P-113,mfg,2025-04-08,15020,emp1246@meridian.com,active
E-1247,Vera Karen,D-11,P-8,mfg,2023-09-27,18538,EMP1247@MERIDIAN.COM,left
E-1248,paul frank,D-25,P-109,saas,2020-05-21,42873,  emp1248@meridian.com  ,active
E-1249,Bob Zhao,D-10,P-44,mfg,10-01-2017,"$35,267.00",emp1249@meridian.COM,active
E-1250,Zhao Nick,D-12,P-36,retail,02-10-2017,24592,emp1250@meridian.com,active
E-1251,Mona Henry,D-27,P-47,saas,09/19/2016,55925,emp1251@meridian.com,left
E-1252,Olive Wang,D-14,P-79,saas,2019-11-02,22287,  emp1252@meridian.com  ,active
E-1253,GUO CAROL,D-17,P-46,mfg,24-07-2021,9003,EMP1253@MERIDIAN. CO,left
E-1254,QUINN MONA,D-22,P-97,retail,02-02-2024,"$5,353.00",emp1254@meridian.com,active
E-1255,YUKI TINA,D-10,P-105,saas,2026-11-19,"$18,353.00",  emp1255@meridian.COM  ,left
E-1256,wu wang,D-5,P-44,retail,15-06-2022,23640,  emp1256@meridian.com  ,active
E-1257,Sun Alice,D-9,P-48,mfg,20-05-2021,"34 015,00",emp1257@meridian.COM,left
E-1258,ZHOU QUINN,D-27,P-23,mfg,2025-07-03,6429,emp1258@meridian.com,active
E-1259,SAM LIU,D-38,P-75,mfg,2015-09-25,"$31,495.00",emp1259@meridian.COM,active
E-1260,Zhou Wu,D-39,P-4,retail,17-11-2025,40111,  emp1260@meridian.COM  ,active
E-1261,Grace Karen,D-2,P-35,retail,21-12-2017,18 647,emp1261@meridian.COM,left
E-1262,Leo David,D-2,P-17,saas,2020-09-05,"$5,134.00",emp1262@meridian. co,left
E-1263,LEO DAVID,D-18,P-21,retail,09-08-2020,"$33,872.00",  emp1263@meridian.com  ,active
E-1264,  Alice Olive  ,D-30,P-17,retail,2022-09-25,47 955,emp1264@meridian.COM,active
E-1265,LI QUINN,D-34,P-115,retail,14-11-2023,17887,emp1265@meridian.COM,left
E-1266,karen tina,D-16,P-100,retail,2026-09-20,"$35,285.00",EMP1266@MERIDIAN.COM,active
E-1267,  Nick Wu  ,D-11,P-32,retail,2022-12-17,59741,  emp1267@meridian. co  ,active
E-1268,Li Guo,D-8,P-68,mfg,15-12-2019,"$53,364.00",emp1268@meridian. co,active
E-1269,  Leo Chen  ,D-24,P-79,retail,2022-10-26,15263,emp1269@meridian.COM,active
E-1270,Karen Li,D-12,P-44,mfg,17-02-2015,36869,  emp1270@meridian.com  ,active
E-1271,Lin Zhou,D-36,P-65,retail,2021-07-01,"$30,943.00",emp1271@meridian.com,active
E-1272,Karen Jack,D-23,P-89,retail,2018-11-07,45913,EMP1272@MERIDIAN.COM,active
