lead_id,channel_id,company,email,created_at,quality
LD-41,CH-1,Black Mesa lead40,  lead40@leads.io  ,13-10-2026,warm
LD-42,CH-4,Tyrell Corp lead41,LEAD41@SALES.NET,03/07/2025,warm
LD-43,CH-8,Tyrell Corp lead42,lead42@prospect.com,2025-12-05,cold
LD-44,CH-2,Weyland-Yutani lead43,LEAD43@PROSPECT.COM,18-10-2026,cold
LD-45,CH-6,  Black Mesa lead44  ,  lead44@sales.net  ,2026-11-15,hot
LD-46,CH-3,Oscorp lead45,lead45@prospect.com,2026-05-14,HOT
LD-47,CH-2,Acme Corp lead46,lead46@sales.net,19-07-2026,hot
LD-48,CH-6,UMBRELLA CO LEAD47,  lead47@leads.io  ,2026-03-27,cold
LD-49,CH-1,Vandelay lead48,  lead48@leads.io  ,2025-04-09,hot
LD-50,CH-7,vandelay lead49,LEAD49@PROSPECT.COM,2025-03-19,cold
LD-51,CH-6,Stark Industries lead50,lead50@sales.net,08/05/2026,cold
LD-52,CH-2,  Wayne Enterprises lead51  ,lead51@leads.io,2025-12-03,cold
LD-53,CH-3,oscorp lead52,  lead52@sales.net  ,06/04/2025,warm
LD-54,CH-5,TYRELL CORP LEAD53,LEAD53@SALES.NET,2026-07-28,hot
LD-55,CH-3,vandelay lead54,lead54@prospect.com,03-08-2025,hot
LD-56,CH-3,  Dunder Mifflin lead55  ,lead55@prospect.com,15-04-2026,warm
LD-57,CH-5,Aperture lead56,LEAD56@LEADS.IO,2025-03-23,HOT
LD-58,CH-7,Initech lead57,LEAD57@PROSPECT.COM,2026-06-17,cold
LD-59,CH-5,ACME CORP LEAD58,LEAD58@PROSPECT.COM,2025-01-02,warm
LD-60,CH-4,  Umbrella Co lead59  ,  lead59@prospect.com  ,2026-10-18,cold
LD-61,CH-5,Vandelay lead60,lead60@sales.net,16-06-2025,cold
LD-62,CH-5,  Oscorp lead61  ,lead61@sales.net,07/23/2026,cold
LD-63,CH-5,  Pied Piper lead62  ,lead62@sales.net,2025-08-22,cold
LD-64,CH-7,Blue Sun lead63,lead63@leads.io,2025-11-03,cold
LD-65,CH-4,umbrella co lead64,lead64@leads.io,04-11-2025,hot
LD-66,CH-1,LexCorp lead65,lead65@leads.io,05/20/2026,hot
LD-67,CH-7,Acme Corp lead66,  lead66@prospect.com  ,19-09-2025,warm
LD-68,CH-6,STARK INDUSTRIES LEAD67,lead67@leads.io,2025-01-05,warm
LD-69,CH-3,Black Mesa lead68,LEAD68@SALES.NET,2025-06-23,warm
LD-70,CH-3,Dunder Mifflin lead69,lead69@sales.net,2025-01-06,HOT
LD-71,CH-2,  Initech lead70  ,lead70@prospect.com,17-06-2025,HOT
LD-72,CH-8,Vandelay lead0,LEAD71@PROSPECT.COM,22-11-2025,hot
LD-73,CH-5,  LexCorp lead1  ,LEAD72@LEADS.IO,04/10/2026,HOT
LD-74,CH-4,BLUE SUN LEAD2,lead73@sales.net,2025-10-17,cold
LD-75,CH-5,HOOLI LEAD3,lead74@prospect.com,18-01-2025,hot
LD-76,CH-3,  Oscorp lead4  ,  lead75@sales.net  ,2025-03-14,HOT
LD-77,CH-5,  Globex lead5  ,lead76@sales.net,2026-02-17,warm
LD-78,CH-5,Hooli lead6,lead77@sales.net,03/06/2026,hot
LD-79,CH-7,MASSIVE DYNAMIC LEAD7,LEAD78@LEADS.IO,2026-01-15,cold
LD-80,CH-4,HOOLI LEAD8,lead79@leads.io,2026-01-17,hot
LD-81,CH-1,ACME CORP LEAD9,lead80@leads.io,2025-04-28,warm
LD-82,CH-4,Wonka lead10,lead81@sales.net,02/14/2026,hot
LD-83,CH-4,Pied Piper lead11,  lead82@leads.io  ,14-10-2025,hot
LD-84,CH-3,Aperture lead12,LEAD83@SALES.NET,2026-02-20,hot
LD-85,CH-3,  Cyberdyne lead13  ,lead84@sales.net,23-08-2026,hot
LD-86,CH-2,LEXCORP LEAD14,lead85@leads.io,2026-07-10,warm
LD-87,CH-2,blue sun lead15,lead86@sales.net,07/27/2025,HOT
LD-88,CH-2,WEYLAND-YUTANI LEAD16,  lead87@leads.io  ,2026-05-20,warm
LD-89,CH-5,  LexCorp lead17  ,lead88@leads.io,2026-08-06,hot
LD-90,CH-2,Hooli lead18,  lead89@leads.io  ,01/14/2025,HOT
LD-91,CH-3,blue sun lead19,lead90@sales.net,2026-01-01,hot
LD-92,CH-1,lexcorp lead20,lead91@prospect.com,09/17/2025,warm
LD-93,CH-2,LEXCORP LEAD21,lead92@prospect.com,08/27/2025,HOT
LD-94,CH-7,  Acme Corp lead22  ,lead93@leads.io,02/08/2025,hot
LD-95,CH-6,Cyberdyne lead23,lead94@leads.io,2026-04-26,hot
LD-96,CH-8,Vandelay lead24,lead95@sales.net,2025-10-03,warm
LD-97,CH-3,Globex lead25,lead96@leads.io,22-03-2025,cold
LD-98,CH-5,Tyrell Corp lead26,lead97@sales.net,2025-10-15,warm
LD-99,CH-3,Blue Sun lead27,lead98@prospect.com,12/07/2026,warm
LD-100,CH-7,  Acme Corp lead28  ,lead99@prospect.com,2025-05-07,warm
LD-101,CH-3,Wayne Enterprises lead29,LEAD100@SALES.NET,16-08-2025,HOT
LD-102,CH-5,Weyland-Yutani lead30,  lead101@sales.net  ,08/23/2026,warm
LD-103,CH-4,Vandelay lead31,  lead102@leads.io  ,2025-08-06,hot
LD-104,CH-2,Oscorp lead32,LEAD103@LEADS.IO,2025-06-08,hot
LD-105,CH-5,Blue Sun lead33,lead104@sales.net,2025-02-28,cold
LD-106,CH-8,stark industries lead34,lead105@prospect.com,21-12-2025,hot
LD-107,CH-4,  Dunder Mifflin lead35  ,  lead106@sales.net  ,04/18/2025,hot
LD-108,CH-3,  Umbrella Co lead36  ,lead107@leads.io,2026-05-09,hot
LD-109,CH-6,  Stark Industries lead37  ,  lead108@leads.io  ,12/13/2025,hot
LD-110,CH-3,  Umbrella Co lead38  ,lead109@prospect.com,2026-05-05,cold
LD-111,CH-3,STARK INDUSTRIES LEAD39,lead110@sales.net,2025-06-12,hot
LD-112,CH-6,wayne enterprises lead40,lead111@leads.io,12/12/2025,HOT
LD-113,CH-5,  Stark Industries lead41  ,lead112@prospect.com,12-12-2026,hot
LD-114,CH-2,Aperture lead42,lead113@sales.net,02-09-2025,warm
LD-115,CH-7,TYRELL CORP LEAD43,lead114@leads.io,2025-06-11,warm
LD-116,CH-3,Pied Piper lead44,lead115@prospect.com,2026-09-13,warm
LD-117,CH-8,Blue Sun lead45,LEAD116@LEADS.IO,2026-02-14,warm
LD-118,CH-4,Stark Industries lead46,lead117@prospect.com,11/19/2025,warm
LD-119,CH-7,Pied Piper lead47,LEAD118@LEADS.IO,2026-01-26,cold
LD-120,CH-3,massive dynamic lead48,LEAD119@PROSPECT.COM,2025-10-11,HOT
LD-121,CH-4,  Black Mesa lead49  ,lead120@sales.net,05/23/2026,warm
LD-122,CH-5,Stark Industries lead50,  lead121@leads.io  ,06/07/2026,hot
LD-123,CH-7,  Vandelay lead51  ,LEAD122@LEADS.IO,03/18/2026,hot
LD-124,CH-2,  Initech lead52  ,lead123@prospect.com,2025-09-05,hot
LD-125,CH-2,LexCorp lead53,lead124@prospect.com,08/20/2025,cold
LD-126,CH-8,DUNDER MIFFLIN LEAD54,  lead125@sales.net  ,08/20/2026,warm
LD-127,CH-6,Stark Industries lead55,  lead126@prospect.com  ,2026-08-06,hot
LD-128,CH-4,MASSIVE DYNAMIC LEAD56,lead127@sales.net,2026-06-03,hot
LD-129,CH-4,blue sun lead57,lead128@sales.net,2025-12-16,cold
LD-130,CH-7,LexCorp lead58,lead129@prospect.com,2026-06-12,hot
LD-131,CH-6,Initech lead59,lead130@sales.net,2025-03-03,HOT
LD-132,CH-3,Umbrella Co lead60,lead131@sales.net,10/03/2026,warm
LD-133,CH-6,initech lead61,  lead132@prospect.com  ,01/23/2025,cold
LD-134,CH-2,weyland-yutani lead62,LEAD133@LEADS.IO,2026-10-17,warm
LD-135,CH-7,Dunder Mifflin lead63,  lead134@prospect.com  ,02/08/2026,cold
LD-136,CH-3,WONKA LEAD64,lead135@sales.net,2025-11-24,warm
LD-137,CH-4,Globex lead65,LEAD136@PROSPECT.COM,11/25/2026,cold
LD-138,CH-3,CYBERDYNE LEAD66,lead137@prospect.com,2026-09-17,hot
LD-139,CH-8,Massive Dynamic lead67,LEAD138@PROSPECT.COM,2025-04-07,cold
LD-140,CH-5,PIED PIPER LEAD68,lead139@leads.io,26-02-2025,warm
LD-141,CH-8,  Oscorp lead69  ,lead140@sales.net,2025-09-04,cold
LD-142,CH-7,Tyrell Corp lead70,LEAD141@SALES.NET,05-06-2026,hot
LD-143,CH-6,DUNDER MIFFLIN LEAD0,lead142@sales.net,2025-10-26,warm
LD-144,CH-5,STARK INDUSTRIES LEAD1,lead143@leads.io,11/03/2025,hot
LD-145,CH-1,LexCorp lead2,  lead144@sales.net  ,27-08-2025,warm
LD-146,CH-6,  Massive Dynamic lead3  ,lead145@prospect.com,08/16/2026,HOT
LD-147,CH-3,VANDELAY LEAD4,  lead146@sales.net  ,01/07/2026,hot
LD-148,CH-5,  Massive Dynamic lead5  ,lead147@sales.net,2026-12-27,cold
LD-149,CH-4,WAYNE ENTERPRISES LEAD6,  lead148@prospect.com  ,2026-03-17,warm
LD-150,CH-7,  Aperture lead7  ,lead149@leads.io,04/02/2025,warm
LD-151,CH-6,Weyland-Yutani lead8,lead150@prospect.com,2025-07-04,HOT
LD-152,CH-1,Initech lead9,lead151@leads.io,10/24/2025,cold
LD-153,CH-6,PIED PIPER LEAD10,LEAD152@SALES.NET,11-06-2026,HOT
LD-154,CH-5,Cyberdyne lead11,  lead153@prospect.com  ,2026-05-05,HOT
LD-155,CH-1,Vandelay lead12,lead154@sales.net,2025-01-08,hot
LD-156,CH-5,  Hooli lead13  ,LEAD155@PROSPECT.COM,2026-04-21,cold
LD-157,CH-3,Oscorp lead14,lead156@sales.net,2026-12-19,warm
LD-158,CH-6,LexCorp lead15,  lead157@sales.net  ,2025-08-04,warm
LD-159,CH-2,LEXCORP LEAD16,LEAD158@SALES.NET,2025-09-18,warm
LD-160,CH-8,Dunder Mifflin lead17,lead159@prospect.com,2026-01-10,hot
LD-161,CH-3,  Blue Sun lead18  ,  lead160@sales.net  ,04/04/2025,hot
LD-162,CH-6,tyrell corp lead19,lead161@sales.net,2026-01-21,HOT
LD-163,CH-5,Blue Sun lead20,lead162@leads.io,12/20/2026,HOT
LD-164,CH-1,INITECH LEAD21,LEAD163@PROSPECT.COM,16-09-2025,HOT
LD-165,CH-1,  Cyberdyne lead22  ,lead164@sales.net,06/13/2026,HOT
LD-166,CH-4,  LexCorp lead23  ,lead165@sales.net,11/15/2026,warm
LD-167,CH-2,CYBERDYNE LEAD24,lead166@sales.net,2026-08-20,cold
LD-168,CH-1,stark industries lead25,lead167@sales.net,01/01/2025,hot
LD-169,CH-1,Wonka lead26,LEAD168@SALES.NET,02/27/2025,HOT
LD-170,CH-1,WONKA LEAD27,lead169@sales.net,01/09/2026,HOT
LD-171,CH-6,Dunder Mifflin lead28,lead170@leads.io,01/16/2025,cold
LD-172,CH-8,Massive Dynamic lead29,lead171@prospect.com,2025-09-11,warm
LD-173,CH-6,  Cyberdyne lead30  ,lead172@sales.net,2026-01-10,cold
LD-174,CH-7,  Wayne Enterprises lead31  ,lead173@prospect.com,06/13/2026,cold
LD-175,CH-1,Wonka lead32,LEAD174@SALES.NET,11/03/2026,HOT
LD-176,CH-5,Cyberdyne lead33,LEAD175@SALES.NET,2025-06-17,warm
LD-177,CH-1,  Aperture lead34  ,  lead176@prospect.com  ,08/16/2026,warm
LD-178,CH-2,  Wayne Enterprises lead35  ,lead177@prospect.com,11/12/2025,HOT
LD-179,CH-6,Wonka lead36,lead178@leads.io,2026-07-25,warm
LD-180,CH-7,WONKA LEAD37,  lead179@sales.net  ,07-09-2026,hot
LD-181,CH-2,Dunder Mifflin lead38,  lead180@sales.net  ,10/14/2025,HOT
LD-182,CH-8,Wayne Enterprises lead39,lead181@leads.io,08-12-2026,HOT
LD-183,CH-4,Globex lead40,LEAD182@LEADS.IO,2025-10-16,cold
LD-184,CH-5,  Vandelay lead41  ,lead183@leads.io,2025-06-13,hot
LD-185,CH-6,WONKA LEAD42,lead184@prospect.com,2025-09-27,warm
LD-186,CH-2,STARK INDUSTRIES LEAD43,lead185@prospect.com,2025-12-12,HOT
LD-187,CH-8,Tyrell Corp lead44,  lead186@leads.io  ,2025-02-01,warm
LD-188,CH-3,Tyrell Corp lead45,  lead187@sales.net  ,21-01-2026,hot
LD-189,CH-3,Wonka lead46,LEAD188@SALES.NET,12/24/2025,cold
LD-190,CH-7,Umbrella Co lead47,  lead189@prospect.com  ,2025-08-23,HOT
LD-191,CH-6,Wonka lead48,  lead190@sales.net  ,06/13/2025,hot
LD-192,CH-3,black mesa lead49,lead191@prospect.com,2025-11-07,cold
LD-193,CH-4,Massive Dynamic lead50,  lead192@sales.net  ,2025-01-27,hot
LD-194,CH-3,lexcorp lead51,lead193@prospect.com,2025-12-07,HOT
LD-195,CH-6,  Massive Dynamic lead52  ,LEAD194@PROSPECT.COM,11-01-2026,cold
LD-196,CH-5,Blue Sun lead53,lead195@sales.net,2026-08-20,warm
LD-197,CH-5,Wonka lead54,lead196@leads.io,2025-04-28,HOT
LD-198,CH-4,Weyland-Yutani lead55,  lead197@sales.net  ,09/07/2026,hot
LD-199,CH-3,STARK INDUSTRIES LEAD56,lead198@leads.io,03/14/2026,hot
LD-200,CH-7,Massive Dynamic lead57,lead199@prospect.com,2025-08-28,hot
LD-201,CH-6,Wayne Enterprises lead58,lead200@leads.io,08/03/2026,cold
LD-202,CH-6,ACME CORP LEAD59,lead201@sales.net,2025-06-27,cold
LD-203,CH-6,wonka lead60,  lead202@sales.net  ,09/26/2026,cold
LD-204,CH-8,Blue Sun lead61,LEAD203@SALES.NET,2026-05-26,cold
LD-205,CH-8,  Umbrella Co lead62  ,  lead204@leads.io  ,2026-09-05,warm
LD-206,CH-3,  Globex lead63  ,lead205@prospect.com,01/17/2026,cold
LD-207,CH-1,Massive Dynamic lead64,lead206@leads.io,2025-05-01,HOT
LD-208,CH-2,TYRELL CORP LEAD65,lead207@leads.io,11/04/2026,HOT
LD-209,CH-6,Globex lead66,lead208@prospect.com,2025-10-10,cold
LD-210,CH-4,acme corp lead67,lead209@leads.io,2025-10-25,warm
LD-211,CH-5,Black Mesa lead68,lead210@leads.io,07/21/2026,warm
LD-212,CH-6,Dunder Mifflin lead69,LEAD211@SALES.NET,09/08/2025,cold
LD-213,CH-4,Stark Industries lead70,  lead212@leads.io  ,04/22/2026,hot
LD-214,CH-2,Vandelay lead0,  lead213@prospect.com  ,28-04-2026,HOT
LD-215,CH-4,  Pied Piper lead1  ,lead214@leads.io,06/04/2025,hot
LD-216,CH-1,lexcorp lead2,LEAD215@SALES.NET,16-01-2026,cold
LD-217,CH-5,HOOLI LEAD3,lead216@leads.io,2025-01-25,HOT
LD-218,CH-4,globex lead4,lead217@sales.net,23-01-2025,hot
LD-219,CH-5,WONKA LEAD5,lead218@prospect.com,2026-11-05,warm
LD-220,CH-1,STARK INDUSTRIES LEAD6,lead219@sales.net,2026-01-10,cold
LD-221,CH-3,  Weyland-Yutani lead7  ,lead220@leads.io,2025-05-19,warm
LD-222,CH-2,Oscorp lead8,lead221@sales.net,2026-02-23,warm
LD-223,CH-2,Pied Piper lead9,LEAD222@LEADS.IO,2025-03-23,warm
LD-224,CH-1,Initech lead10,LEAD223@SALES.NET,2025-08-22,warm
LD-225,CH-1,Tyrell Corp lead11,LEAD224@LEADS.IO,2025-06-23,HOT
LD-226,CH-4,Cyberdyne lead12,LEAD225@PROSPECT.COM,07-10-2026,HOT
LD-227,CH-2,Globex lead13,  lead226@leads.io  ,2025-03-11,hot
LD-228,CH-8,Tyrell Corp lead14,lead227@sales.net,2026-06-02,HOT
LD-229,CH-8,VANDELAY LEAD15,LEAD228@SALES.NET,2026-08-23,HOT
LD-230,CH-6,Pied Piper lead16,lead229@sales.net,10/28/2026,cold
LD-231,CH-3,Massive Dynamic lead17,  lead230@sales.net  ,10/08/2026,hot
LD-232,CH-7,Weyland-Yutani lead18,  lead231@leads.io  ,02/21/2025,hot
LD-233,CH-4,Cyberdyne lead19,lead232@sales.net,2026-03-01,hot
LD-234,CH-8,  Wayne Enterprises lead20  ,lead233@prospect.com,27-03-2025,HOT
LD-235,CH-2,stark industries lead21,lead234@prospect.com,07/27/2025,warm
LD-236,CH-3,  Vandelay lead22  ,lead235@prospect.com,2026-07-28,warm
LD-237,CH-7,  Globex lead23  ,lead236@leads.io,2026-08-11,hot
LD-238,CH-2,Oscorp lead24,LEAD237@PROSPECT.COM,2025-12-12,cold
LD-239,CH-4,  Acme Corp lead25  ,lead238@sales.net,09/16/2025,warm
LD-240,CH-2,  Vandelay lead26  ,  lead239@prospect.com  ,02/21/2026,HOT
LD-241,CH-3,LexCorp lead27,lead240@leads.io,2026-06-17,cold
LD-242,CH-4,massive dynamic lead28,  lead241@sales.net  ,11-05-2026,HOT
LD-243,CH-7,CYBERDYNE LEAD29,lead242@prospect.com,2026-12-22,HOT
LD-244,CH-3,BLACK MESA LEAD30,LEAD243@LEADS.IO,10/10/2025,warm
LD-245,CH-8,  Initech lead31  ,  lead244@sales.net  ,28-10-2025,hot
LD-246,CH-7,  Globex lead32  ,lead245@leads.io,08/16/2025,HOT
LD-247,CH-7,BLACK MESA LEAD33,  lead246@sales.net  ,2025-05-03,warm
LD-248,CH-4,Vandelay lead34,lead247@prospect.com,01-01-2026,warm
LD-249,CH-7,globex lead35,lead248@leads.io,10/17/2026,warm
LD-250,CH-8,Wonka lead36,lead249@prospect.com,02/20/2025,hot
LD-251,CH-3,Pied Piper lead37,  lead250@sales.net  ,25-01-2025,HOT
LD-252,CH-2,INITECH LEAD38,LEAD251@PROSPECT.COM,12-06-2025,cold
LD-253,CH-1,Blue Sun lead39,  lead252@sales.net  ,07/04/2026,HOT
LD-254,CH-2,STARK INDUSTRIES LEAD40,  lead253@prospect.com  ,2025-05-01,cold
LD-255,CH-1,Dunder Mifflin lead41,lead254@sales.net,2025-09-13,HOT
LD-256,CH-6,VANDELAY LEAD42,lead255@prospect.com,17-07-2026,HOT
LD-257,CH-6,Weyland-Yutani lead43,  lead256@sales.net  ,03/21/2025,HOT
LD-258,CH-4,Tyrell Corp lead44,LEAD257@LEADS.IO,2026-03-04,HOT
LD-259,CH-7,BLUE SUN LEAD45,lead258@prospect.com,28-12-2025,cold
LD-260,CH-7,Blue Sun lead46,LEAD259@LEADS.IO,04/03/2026,hot
LD-261,CH-5,Blue Sun lead47,  lead260@prospect.com  ,2025-07-07,hot
LD-262,CH-3,Hooli lead48,  lead261@leads.io  ,02/10/2025,HOT
LD-263,CH-3,Umbrella Co lead49,lead262@prospect.com,2026-12-02,cold
LD-264,CH-7,  Black Mesa lead50  ,LEAD263@PROSPECT.COM,2025-09-21,warm
LD-265,CH-3,Oscorp lead51,LEAD264@PROSPECT.COM,2025-10-22,HOT
LD-266,CH-4,globex lead52,LEAD265@SALES.NET,2025-05-06,HOT
LD-267,CH-4,Weyland-Yutani lead53,lead266@prospect.com,05-06-2026,cold
LD-268,CH-5,Blue Sun lead54,lead267@leads.io,2026-11-09,warm
LD-269,CH-2,Aperture lead55,lead268@prospect.com,20-03-2026,warm
LD-270,CH-1,Stark Industries lead56,LEAD269@SALES.NET,07/28/2026,hot
LD-271,CH-6,Black Mesa lead57,lead270@sales.net,2025-07-10,cold
LD-272,CH-3,  Globex lead58  ,lead271@leads.io,2025-04-08,hot
LD-273,CH-5,BLACK MESA LEAD59,LEAD272@PROSPECT.COM,05/17/2026,cold
LD-274,CH-4,globex lead60,lead273@sales.net,07-11-2025,hot
LD-275,CH-5,Blue Sun lead61,lead274@leads.io,2025-02-19,cold
LD-276,CH-1,weyland-yutani lead62,LEAD275@SALES.NET,2026-05-12,hot
LD-277,CH-8,DUNDER MIFFLIN LEAD63,lead276@prospect.com,03/15/2025,cold
LD-278,CH-7,Wonka lead64,LEAD277@PROSPECT.COM,07-03-2026,HOT
LD-279,CH-4,OSCORP LEAD65,lead278@leads.io,2025-08-03,warm
LD-280,CH-4,MASSIVE DYNAMIC LEAD66,lead279@sales.net,2025-02-12,warm
LD-281,CH-4,WAYNE ENTERPRISES LEAD67,lead280@prospect.com,06/03/2025,cold
LD-282,CH-7,  Cyberdyne lead68  ,LEAD281@SALES.NET,08/24/2025,hot
LD-283,CH-3,PIED PIPER LEAD69,lead282@sales.net,27-08-2026,HOT
LD-284,CH-2,Acme Corp lead70,lead283@leads.io,07/24/2025,warm
LD-285,CH-5,  Blue Sun lead0  ,  lead284@sales.net  ,19-08-2025,warm
LD-286,CH-3,Weyland-Yutani lead1,lead285@prospect.com,2026-03-26,cold
LD-287,CH-3,Tyrell Corp lead2,lead286@leads.io,02/08/2026,hot
LD-288,CH-6,Umbrella Co lead3,LEAD287@SALES.NET,25-09-2025,hot
LD-289,CH-5,MASSIVE DYNAMIC LEAD4,LEAD288@SALES.NET,2025-02-21,HOT
LD-290,CH-8,  Globex lead5  ,LEAD289@SALES.NET,2026-07-01,HOT
LD-291,CH-6,LexCorp lead6,  lead290@sales.net  ,2025-05-11,HOT
LD-292,CH-8,VANDELAY LEAD7,lead291@prospect.com,08/15/2025,cold
LD-293,CH-6,WONKA LEAD8,lead292@sales.net,2025-02-26,HOT
LD-294,CH-5,  Cyberdyne lead9  ,lead293@leads.io,2025-08-20,cold
LD-295,CH-2,ACME CORP LEAD10,LEAD294@LEADS.IO,08/08/2026,cold
LD-296,CH-6,APERTURE LEAD11,LEAD295@SALES.NET,04/05/2026,hot
LD-297,CH-4,blue sun lead12,lead296@prospect.com,01/11/2025,cold
LD-298,CH-8,Dunder Mifflin lead13,  lead297@prospect.com  ,04/07/2025,HOT
LD-299,CH-5,DUNDER MIFFLIN LEAD14,LEAD298@SALES.NET,2025-06-25,cold
LD-300,CH-3,OSCORP LEAD15,lead299@sales.net,01/17/2025,hot
LD-301,CH-8,Cyberdyne lead16,lead300@sales.net,07-01-2026,cold
LD-302,CH-7,  Globex lead17  ,lead301@prospect.com,02/21/2025,hot
LD-303,CH-7,WEYLAND-YUTANI LEAD18,LEAD302@LEADS.IO,2026-03-06,HOT
LD-304,CH-5,  Stark Industries lead19  ,LEAD303@PROSPECT.COM,01/10/2026,cold
LD-305,CH-7,  Massive Dynamic lead20  ,lead304@sales.net,2026-07-13,warm
LD-306,CH-7,WEYLAND-YUTANI LEAD21,lead305@prospect.com,2025-11-02,warm
LD-307,CH-5,LexCorp lead22,  lead306@prospect.com  ,01/18/2026,HOT
LD-308,CH-4,Acme Corp lead23,  lead307@prospect.com  ,08/17/2026,cold
LD-309,CH-1,BLUE SUN LEAD24,lead308@leads.io,11-06-2026,cold
LD-310,CH-1,Cyberdyne lead25,lead309@leads.io,11/23/2025,hot
LD-311,CH-4,umbrella co lead26,lead310@leads.io,2026-01-07,cold
LD-312,CH-3,WEYLAND-YUTANI LEAD27,lead311@leads.io,2025-05-22,HOT
LD-313,CH-1,BLACK MESA LEAD28,LEAD312@SALES.NET,2026-03-27,warm
LD-314,CH-1,WEYLAND-YUTANI LEAD29,lead313@sales.net,2025-12-24,cold
LD-315,CH-2,oscorp lead30,  lead314@prospect.com  ,2025-08-27,warm
LD-316,CH-8,lexcorp lead31,lead315@leads.io,10/20/2026,HOT
LD-317,CH-2,  Black Mesa lead32  ,  lead316@leads.io  ,11/01/2026,cold
LD-318,CH-5,tyrell corp lead33,lead317@leads.io,12/28/2025,hot
LD-319,CH-4,Wonka lead34,lead318@prospect.com,07/19/2026,HOT
LD-320,CH-1,CYBERDYNE LEAD35,  lead319@prospect.com  ,11/08/2026,cold
LD-321,CH-6,Oscorp lead36,  lead320@sales.net  ,15-06-2026,warm
LD-322,CH-6,  Umbrella Co lead37  ,lead321@leads.io,06-06-2025,warm
LD-323,CH-8,pied piper lead38,lead322@sales.net,27-06-2025,hot
LD-324,CH-2,black mesa lead39,LEAD323@PROSPECT.COM,2026-05-15,cold
LD-325,CH-4,acme corp lead40,lead324@leads.io,2025-03-01,warm
LD-326,CH-6,Stark Industries lead41,LEAD325@SALES.NET,2025-04-17,warm
LD-327,CH-4,WAYNE ENTERPRISES LEAD42,  lead326@sales.net  ,2025-12-14,warm
